75,4.1,न,न{अव्य},కాదు,
76,5.1,पातव्यम्,पातव्य{नपुं;1;एक(पा1;तव्यत्;भ्वादिः)},తాగదగినది,
77,6.1,मासात्,मास{पुं;5;एक},మాసము ,
78,7.1,आश्वयुजात्,आश्वयुज{पुं;5;एक},ఆశ్వయుజము ,
79,8.1,विना,विना{अव्य},తప్పించి,
80,9.1,.,-,,
81,1.1,ऐन्द्रम्,ऐन्द्र{नपुं;2;एक},"ఆకాశ(ఉదకము), వర్షపు (నీరు)",
82,2.1,अम्बु,अम्बु{नपुं;2;एक},"జలమును, నీటిని",
83,3.1,सु-,सु,మంచి,
84,3.2,पात्र-,पात्र,పాత్రలో,
85,3.3,स्थम्,स्थ{नपुं;2;एक},ఉంచబడినది,
86,4.1,अ-,अ,"అ, లేనిది",
87,4.2,विपन्नम्,विपन्न{नपुं;2;एक},దోషములు,
88,5.1,सदा,सदा{अव्य},ఎల్లప్పుడూ,
89,6.1,पिबेत्,पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"తాగాలి,తాగవలెను",
90,7.1,.,-,,
91,1.1,तत्-,तत्,"ఆ (అమలిన, ఐంద్ర జలము)",
92,1.2,अभावे,अभाव{नपुं;7;एक},అభావమునందు,
93,10.1,(पिबेत्),पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"తాగాలి,తాగవలెను",
94,11.1,.,-,,
95,2.1,च,च{अव्य},మరియు,
96,3.1,भूमि-,भूमि,భూమి,
97,3.2,स्थम्,स्थ{नपुं;2;एक},ప్రదేశము,
98,4.1,आन्तरिक्ष-,आन्तरिक्ष,ఆంతరిక్ష (జలము),
99,4.2,अनुकारि,अनुकारिन्{नपुं;2;एक},"అనుకరించు,సరిపోలిన",
100,5.1,यत्,यद्{सर्व;नपुं;2;एक},ఏది,
101,6.1,शुचि-,शुचि,శుభ్రము,
102,6.2,पृथु-,पृथु,విశాలమైన,
103,6.3,असित-,असित(अस्1;क्त;भ्वादिः),నలుపు,
104,6.4,श्वेते,श्वेत{पुं;7;एक},తెలుపు,
105,7.1,देशे,देश{पुं;7;एक},దేశము/భూమిలో,
106,8.1,अर्क-,अर्क,సూర్యుడు,
107,8.2,पवन-,पवन(पू1;ल्युट्;भ्वादिः),వాయువులచే,
108,8.3,आहतम्,आङ्_हन्1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;अदादिः},తాకబడినది,
109,9.1,(तत्),तद्{सर्व;नपुं;2;एक},దానిని,
110,1.1,न,न{अव्य},కానిది,
111,10.1,तप्तम्,तप्त{नपुं;2;एक(तप्1;क्त;भ्वादिः)},వేడి చేసినది,made hot repeatedly
112,11.1,दन्त-,दन्त,పండ్లు,
113,11.2,ग्राहि,ग्राहिन्{नपुं;2;एक},పట్టుకొనునట్లు,
114,12.1,अति-,अति,అతి,
115,12.2,शैत्यतः,शैत्य{अव्य;तसिल्},చల్లని,
116,13.1,(च),च{अव्य्},మరియు,
117,14.1,(जलम्),जल{नपुं;2;एक},నీటిని,
118,15.1,.,-,,
119,2.1,पिबेत्,पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"తాగాలి, తాగవలెను",
120,3.1,पङ्क-,पङ्क,బురద,
121,3.2,शैवाल-,शैवाल,పాచి,
122,3.3,तृण-,तृण,గడ్డి,
123,3.4,पर्ण-,पर्ण,ఆకులు,
124,3.5,आविल-,आविल,మలినముతో,
125,3.6,आस्तृतम्,आस्तृत{नपुं;2;एक},కప్పబడిన,
126,4.1,सूर्य-,सूर्य,సూర్యుడు,
127,4.2,इन्दु-,इन्दु,చంద్రుడు,
128,4.3,पवन-,पवन(पू1;ल्युट्;भ्वादिः),"వాయువు,గాలి",
129,4.4,अ-,अ,కానిది,
130,4.5,दृष्टम्,दृष्ट{नपुं;2;एक},చూసినది,
131,5.1,अभिवृष्टम्,अभि_वृष्1{क्त;वृषुँ;भ्वादिः;अभिवृष्ट;ना;नपुं;2;एक},"వర్షించిన, పోసిన",
132,6.1,घनम्,घन{नपुं;2;एक},ఘనత్వము,
133,7.1,गुरु,गुरु{नपुं;2;एक},గురు గుణము కలది,
134,8.1,फेनिलम्,फेनिल{नपुं;2;एक},నురుగుతో కూడినది,
135,9.1,जन्तुमत्,जन्तु{मतुप्;नपुं;2;एक},పురుగులు కలది,
136,1.1,अन्-,अन,కానిది,
137,1.2,आर्तवम्,आर्तव{नपुं;2;एक},ఋతువు,
138,10.1,लूता-,लूताः,సాలె పురుగు,
139,10.2,आदि-,-आदिः,మొదలగు వాని,
140,10.3,तन्तु-,तन्तु,తీగలు,
141,10.4,विट्-,विश्,"పురీషము,మలము",
142,10.5,मूत्र-,मूत्र,మూత్రము,
143,10.6,विष-,विष,విషము,
144,10.7,संश्लेष-,संश्लेष,"సంయోగము, కలయిక చే",
145,10.8,दूषितम्,दूषित{नपुं;2;एक},దూషింపబడినది,
146,11.1,(तत्),तद्{सर्व;नपुं;2;एक},దానిని,
147,12.1,(न),न{अव्य्},వద్దు,
148,13.1,(पिबेत्),पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"తాగాలి,తాగవలెను",
149,14.1,.,-,,
150,2.1,च,च{अव्य},మరియు,
151,3.1,यत्,यद्{सर्व;नपुं;2;एक},ఏది,
152,4.1,दिव्यम्,दिव्य{नपुं;2;एक},దివ్య జలమును,
153,5.1,(तत्),तद्{सर्व;नपुं;2;एक},దానిని,
154,6.1,आर्तवम्,आर्तव{नपुं;2;एक},ఋతువున (వర్ష ఋతువున కురిసినది),
155,7.1,प्रथमम्,प्रथम{नपुं;2;एक},మొదటి వర్షము,
156,8.1,च,च{अव्य},మరియు,
157,9.1,यत्,यद्{सर्व;नपुं;2;एक},ఏది,
158,1.1,पश्चिम-,पश्चिम,పడమటి ,
159,1.2,उदधि-,उदधि,సముద్రము,
160,1.3,गाः,गा{स्त्री;1;बहु},చేరునవి,
161,10.1,नद्यः,नदी{स्त्री;1;बहु},నదులు,
162,11.1,.,-,,
163,2.1,शीघ्र-,शीघ्र,త్వరిత గతిని,
164,2.2,वहाः,वहा{स्त्री;1;बहु},ప్రవహించునవి,
165,3.1,याः,यद्{सर्व;स्त्री;1;बहु},ఏవి,
166,4.1,च,च{अव्य},మరియు,
167,5.1,अमल-,अमल,"అమలినమైన, నిర్మలమైన",
168,5.2,उदकाः,उदका{स्त्री;1;बहु},నీళ్ళు,
169,6.1,पथ्याः,पथ्या{स्त्री;1;बहु},పథ్యకరములు,
170,7.1,समासात्,समास{पुं;5;एक(सम्_अस्3;घञ्;दिवादिः)},సంక్షేపముగా,
171,8.1,ताः,तद्{सर्व;स्त्री;1;बहु},అవి,
172,9.1,(भवन्ति),भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः},ఔతాయి,
173,1.1,विपरीताः,विपरीता{स्त्री;1;बहु(वि_परि_इ1;क्त;अदादिः)},వ్యతిరేక లక్షణములు కలవి,
174,2.1,तु,तु{अव्य},,
175,3.1,अतः,अतः{अव्य},,
176,4.1,अन्यथा,अन्यथा{अव्य}, లేదా(అపథ్యకరములు),
177,5.1,(भवन्ति),भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः},ఔతాయి,
178,6.1,.,-,,
179,1.1,उपल-,उपल,బండ రాళ్ళు,
180,1.2,आस्फालन-,आस्फालन,పైన బడుట,
181,1.3,आक्षेप-,आक्षेप,విసురుగా పడటం,
182,1.4,विच्छेदैः,विच्छेद{पुं;3;बहु(वि_छिद्1;घञ्;रुधादिः)},,
183,10.1,स्थिराः,स्थिरा{स्त्री;1;बहु},,
184,11.1,कृमि-,कृमि,కృమి రోగము,
185,11.2,श्लीपद-,श्लीपद,శ్లీపదము(బోదకాలు),
186,11.3,हृत्-,हृत्,హృదయము(ఛాతీ),
